"plan";"subscriptionId";"subscriptionName";"subscriptionMgPath";"pricingTier";"freeTrialRemainingTime";"AI_enablementTime";"AI_ext_AIPromptEvidence";"AI_ext_AIPromptSharingWithPurview";"AI_resourcesCoverageStatus";"Api_resourcesCoverageStatus";"AppServices_enablementTime";"AppServices_resourcesCoverageStatus";"Arm_enablementTime";"Arm_resourcesCoverageStatus";"Arm_subPlan";"CloudPosture_enablementTime";"CloudPosture_ext_AgentlessDiscoveryForKubernetes";"CloudPosture_ext_AgentlessServerlessPosture";"CloudPosture_ext_AgentlessVmScanning";"CloudPosture_ext_ApiPosture";"CloudPosture_ext_ContainerRegistriesVulnerabilityAssessments";"CloudPosture_ext_EntraPermissionsManagement";"CloudPosture_ext_SensitiveDataDiscovery";"CloudPosture_resourcesCoverageStatus";"ContainerRegistry_deprecated";"ContainerRegistry_replacedBy";"ContainerRegistry_resourcesCoverageStatus";"Containers_enablementTime";"Containers_ext_AgentlessDiscoveryForKubernetes";"Containers_ext_AgentlessVmScanning";"Containers_ext_ContainerIntegrityContribution";"Containers_ext_ContainerRegistriesVulnerabilityAssessments";"Containers_ext_ContainerSensor";"Containers_resourcesCoverageStatus";"CosmosDbs_enablementTime";"CosmosDbs_resourcesCoverageStatus";"Discovery_resourcesCoverageStatus";"Dns_deprecated";"Dns_replacedBy";"Dns_resourcesCoverageStatus";"FoundationalCspm_resourcesCoverageStatus";"KeyVaults_enablementTime";"KeyVaults_resourcesCoverageStatus";"KeyVaults_subPlan";"KubernetesService_deprecated";"KubernetesService_replacedBy";"KubernetesService_resourcesCoverageStatus";"OpenSourceRelationalDatabases_enablementTime";"OpenSourceRelationalDatabases_resourcesCoverageStatus";"SqlServers_enablementTime";"SqlServers_resourcesCoverageStatus";"SqlServerVirtualMachines_enablementTime";"SqlServerVirtualMachines_resourcesCoverageStatus";"StorageAccounts_enablementTime";"StorageAccounts_ext_OnUploadMalwareScanning";"StorageAccounts_ext_OnUploadMalwareScanning_CapGBPerMonthPerStorageAccount";"StorageAccounts_ext_SensitiveDataDiscovery";"StorageAccounts_resourcesCoverageStatus";"StorageAccounts_subPlan";"VirtualMachines_ext_AgentlessVmScanning";"VirtualMachines_ext_FileIntegrityMonitoring";"VirtualMachines_ext_MdeDesignatedSubscription";"VirtualMachines_ext_MicrosoftDefenderforEndpoint";"VirtualMachines_resourcesCoverageStatus";"VirtualMachines_subPlan"
"AI";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";"11/10/2025 21:04:47";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AI";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";"11/10/2025 21:04:49";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AI";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";"11/10/2025 21:04:46";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AI";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";"10/01/2025 18:06:47";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Api";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Free";"P30D";;;;;"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Api";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Free";"P30D";;;;;"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Api";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Free";"P30D";;;;;"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Api";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Free";"P30D";;;;;"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AppServices";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;"08/13/2024 16:10:08";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AppServices";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AppServices";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;"08/13/2024 16:11:14";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AppServices";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;"08/13/2024 16:02:58";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Arm";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;"08/13/2024 16:10:53";"FullyCovered";"PerApiCall";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Arm";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;"FullyCovered";"PerApiCall";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Arm";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;"08/13/2024 16:11:36";"FullyCovered";"PerApiCall";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Arm";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;"08/13/2024 16:03:20";"FullyCovered";"PerApiCall";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CloudPosture";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;"08/13/2024 15:58:22";"True";"False";"True";"False";"True";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CloudPosture";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;"True";"False";"True";"False";"True";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CloudPosture";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;"08/13/2024 15:58:19";"True";"False";"True";"False";"True";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CloudPosture";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;"08/13/2024 15:58:36";"True";"False";"True";"False";"True";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ContainerRegistry";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Free";"P30D";;;;;;;;;;;;;;;;;;;;"True";"Containers";"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ContainerRegistry";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Free";"P30D";;;;;;;;;;;;;;;;;;;;"True";"Containers";"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ContainerRegistry";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Free";"P30D";;;;;;;;;;;;;;;;;;;;"True";"Containers";"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ContainerRegistry";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Free";"P30D";;;;;;;;;;;;;;;;;;;;"True";"Containers";"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Containers";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:10:51";"True";"True";"False";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Containers";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;"True";"True";"False";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Containers";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:11:34";"True";"True";"False";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Containers";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:03:18";"True";"True";"False";"True";"True";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CosmosDbs";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:11:00";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CosmosDbs";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"09/11/2024 13:59:17";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CosmosDbs";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:11:58";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
