"plan";"subscriptionId";"subscriptionName";"subscriptionMgPath";"pricingTier";"freeTrialRemainingTime";"AI_enablementTime";"AI_ext_AIPromptEvidence";"AI_ext_AIPromptSharingWithPurview";"AI_resourcesCoverageStatus";"Api_resourcesCoverageStatus";"AppServices_enablementTime";"AppServices_resourcesCoverageStatus";"Arm_enablementTime";"Arm_resourcesCoverageStatus";"Arm_subPlan";"CloudPosture_enablementTime";"CloudPosture_ext_AgentlessDiscoveryForKubernetes";"CloudPosture_ext_AgentlessServerlessPosture";"CloudPosture_ext_AgentlessVmScanning";"CloudPosture_ext_ApiPosture";"CloudPosture_ext_ContainerRegistriesVulnerabilityAssessments";"CloudPosture_ext_EntraPermissionsManagement";"CloudPosture_ext_SensitiveDataDiscovery";"CloudPosture_resourcesCoverageStatus";"ContainerRegistry_deprecated";"ContainerRegistry_replacedBy";"ContainerRegistry_resourcesCoverageStatus";"Containers_enablementTime";"Containers_ext_AgentlessDiscoveryForKubernetes";"Containers_ext_AgentlessVmScanning";"Containers_ext_ContainerIntegrityContribution";"Containers_ext_ContainerRegistriesVulnerabilityAssessments";"Containers_ext_ContainerSensor";"Containers_resourcesCoverageStatus";"CosmosDbs_enablementTime";"CosmosDbs_resourcesCoverageStatus";"Discovery_resourcesCoverageStatus";"Dns_deprecated";"Dns_replacedBy";"Dns_resourcesCoverageStatus";"FoundationalCspm_resourcesCoverageStatus";"KeyVaults_enablementTime";"KeyVaults_resourcesCoverageStatus";"KeyVaults_subPlan";"KubernetesService_deprecated";"KubernetesService_replacedBy";"KubernetesService_resourcesCoverageStatus";"OpenSourceRelationalDatabases_enablementTime";"OpenSourceRelationalDatabases_resourcesCoverageStatus";"SqlServers_enablementTime";"SqlServers_resourcesCoverageStatus";"SqlServerVirtualMachines_enablementTime";"SqlServerVirtualMachines_resourcesCoverageStatus";"StorageAccounts_enablementTime";"StorageAccounts_ext_OnUploadMalwareScanning";"StorageAccounts_ext_OnUploadMalwareScanning_CapGBPerMonthPerStorageAccount";"StorageAccounts_ext_SensitiveDataDiscovery";"StorageAccounts_resourcesCoverageStatus";"StorageAccounts_subPlan";"VirtualMachines_ext_AgentlessVmScanning";"VirtualMachines_ext_FileIntegrityMonitoring";"VirtualMachines_ext_MdeDesignatedSubscription";"VirtualMachines_ext_MicrosoftDefenderforEndpoint";"VirtualMachines_resourcesCoverageStatus";"VirtualMachines_subPlan"
"CosmosDbs";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:03:28";"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Discovery";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Discovery";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Discovery";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Discovery";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Dns";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Free";"P30D";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"VirtualMachines";"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;
"Dns";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Free";"P30D";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"VirtualMachines";"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;
"Dns";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Free";"P30D";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"VirtualMachines";"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;
"Dns";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Free";"P30D";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"VirtualMachines";"NotCovered";;;;;;;;;;;;;;;;;;;;;;;;;
"FoundationalCspm";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;
"FoundationalCspm";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;
"FoundationalCspm";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;
"FoundationalCspm";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;;;;;;;;;;;
"KeyVaults";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:10:52";"FullyCovered";"PerTransaction";;;;;;;;;;;;;;;;;;;;;
"KeyVaults";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";"PerTransaction";;;;;;;;;;;;;;;;;;;;;
"KeyVaults";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:11:35";"FullyCovered";"PerTransaction";;;;;;;;;;;;;;;;;;;;;
"KeyVaults";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:03:19";"FullyCovered";"PerTransaction";;;;;;;;;;;;;;;;;;;;;
"KubernetesService";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Free";"P30D";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"Containers";"NotCovered";;;;;;;;;;;;;;;;;;
"KubernetesService";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Free";"P30D";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"Containers";"NotCovered";;;;;;;;;;;;;;;;;;
"KubernetesService";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Free";"P30D";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"Containers";"NotCovered";;;;;;;;;;;;;;;;;;
"KubernetesService";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Free";"P30D";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"Containers";"NotCovered";;;;;;;;;;;;;;;;;;
"OpenSourceRelationalDatabases";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:10:58";"FullyCovered";;;;;;;;;;;;;;;;
"OpenSourceRelationalDatabases";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;;;
"OpenSourceRelationalDatabases";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:11:55";"FullyCovered";;;;;;;;;;;;;;;;
"OpenSourceRelationalDatabases";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:03:26";"FullyCovered";;;;;;;;;;;;;;;;
"SqlServers";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:10:54";"FullyCovered";;;;;;;;;;;;;;
"SqlServers";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;;;
"SqlServers";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:11:37";"FullyCovered";;;;;;;;;;;;;;
"SqlServers";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:03:22";"FullyCovered";;;;;;;;;;;;;;
"SqlServerVirtualMachines";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:10:57";"FullyCovered";;;;;;;;;;;;
"SqlServerVirtualMachines";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FullyCovered";;;;;;;;;;;;
"SqlServerVirtualMachines";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:11:39";"FullyCovered";;;;;;;;;;;;
"SqlServerVirtualMachines";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:03:24";"FullyCovered";;;;;;;;;;;;
"StorageAccounts";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:10:40";"True";"5000";"True";"FullyCovered";"DefenderForStorageV2";;;;;;
"StorageAccounts";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"5000";"True";"FullyCovered";"DefenderForStorageV2";;;;;;
"StorageAccounts";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:11:23";"True";"5000";"True";"FullyCovered";"DefenderForStorageV2";;;;;;
"StorageAccounts";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"08/13/2024 16:03:08";"True";"5000";"True";"FullyCovered";"DefenderForStorageV2";;;;;;
"VirtualMachines";"1c083bf3-30ac-4804-aa81-afddc58c78dc";"azr-mge-dev-sub-02";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/identity/1c083bf3-30ac-4804-aa81-afddc58c78dc";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"False";"False";"True";"FullyCovered";"P2"
"VirtualMachines";"8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"azr-mge-dev-sub-03";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/management/8ff0bc40-d483-4e35-be1d-b49568bd9c5f";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"False";"False";"True";"FullyCovered";"P2"
"VirtualMachines";"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"False";"False";"True";"FullyCovered";"P2"
"VirtualMachines";"dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"azr-mge-dev-sub-05";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/security/dee9fea3-65b6-45ad-8b44-f38b05c31fa9";"Standard";"PT0S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"True";"False";"False";"True";"FullyCovered";"P2"
